Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.100000	2.734610	1.818453	19.036000	30.320000	
0.100000	1.655166	1.516328	37.482000	44.770000	
0.100000	1.339473	1.235341	51.140000	55.400000	
0.100000	1.111676	1.163229	60.082000	59.320000	
0.100000	0.929346	0.878907	67.032000	68.840000	
0.100000	0.803093	0.909105	71.800000	69.640000	
0.100000	0.692141	0.643149	75.926000	77.970000	
0.100000	0.610512	0.705492	78.880000	76.430000	
0.100000	0.549016	0.726868	81.024000	76.420000	
0.100000	0.507298	0.649636	82.452000	78.690000	
0.100000	0.467028	0.603867	83.840000	79.410000	
0.100000	0.425114	0.500096	85.284000	83.280000	
0.100000	0.407408	0.629514	85.888000	78.300000	
0.100000	0.389943	0.635255	86.416000	79.380000	
0.100000	0.372731	0.543504	87.104000	81.410000	
0.100000	0.360433	0.548955	87.594000	82.400000	
0.100000	0.342905	0.891990	88.334000	73.520000	
0.100000	0.326866	0.538430	88.824000	82.850000	
0.100000	0.317518	0.507986	89.082000	82.830000	
0.100000	0.312864	0.570362	89.316000	81.340000	
0.100000	0.299582	0.698490	89.632000	79.370000	
0.100000	0.294382	0.390767	89.850000	86.350000	
0.100000	0.283285	0.794734	90.256000	76.390000	
0.100000	0.285077	0.621664	90.240000	80.840000	
0.100000	0.272626	0.433669	90.582000	85.930000	
0.100000	0.275716	0.400124	90.420000	86.570000	
0.100000	0.272545	0.472255	90.642000	84.170000	
0.100000	0.263382	0.369337	90.970000	87.810000	
0.100000	0.260340	0.450375	91.086000	85.690000	
0.100000	0.257009	0.447189	91.130000	85.480000	
0.100000	0.254493	0.454285	91.262000	84.970000	
0.100000	0.242141	0.512771	91.710000	84.060000	
0.100000	0.242695	0.550220	91.652000	82.030000	
0.100000	0.245607	0.550498	91.558000	82.900000	
0.100000	0.233519	0.801169	91.988000	78.190000	
0.100000	0.235760	0.642845	91.938000	80.320000	
0.100000	0.236112	0.513916	91.806000	84.160000	
0.100000	0.226616	0.491902	92.236000	84.350000	
0.100000	0.227738	0.436940	92.184000	86.320000	
0.100000	0.221961	0.398967	92.360000	86.640000	
0.100000	0.220636	0.692849	92.336000	80.250000	
0.100000	0.218990	0.443454	92.434000	86.160000	
0.100000	0.216779	0.761422	92.508000	79.940000	
0.100000	0.213756	0.495625	92.662000	84.270000	
0.100000	0.213623	0.397889	92.530000	87.540000	
0.100000	0.211694	0.415108	92.742000	86.100000	
0.100000	0.212180	0.564649	92.728000	82.860000	
0.100000	0.209417	0.387813	92.816000	87.350000	
0.100000	0.206989	0.547922	92.858000	82.650000	
0.100000	0.208882	0.422464	92.910000	85.820000	
0.100000	0.194554	0.471898	93.400000	85.550000	
0.100000	0.211791	0.539573	92.684000	83.570000	
0.100000	0.201586	0.420277	93.028000	85.940000	
0.100000	0.199179	0.339520	93.084000	88.900000	
0.100000	0.192352	0.502893	93.374000	84.980000	
0.100000	0.191465	0.402058	93.378000	86.770000	
0.100000	0.197330	0.491299	93.248000	85.240000	
0.100000	0.199959	0.409917	93.234000	87.190000	
0.100000	0.190180	0.472032	93.506000	85.570000	
0.100000	0.196181	0.547893	93.156000	84.060000	
0.100000	0.183129	0.379774	93.746000	87.740000	
0.100000	0.188405	0.387880	93.592000	87.650000	
0.100000	0.186389	0.540014	93.620000	83.950000	
0.100000	0.186355	0.401122	93.696000	87.660000	
0.100000	0.175792	0.455941	93.958000	85.720000	
0.100000	0.193372	0.536618	93.380000	82.930000	
0.100000	0.186195	0.367706	93.628000	88.660000	
0.100000	0.180302	0.376888	93.906000	87.720000	
0.100000	0.178067	0.377556	93.964000	88.250000	
0.100000	0.184539	0.463315	93.740000	85.920000	
0.100000	0.184075	0.323118	93.812000	90.050000	
0.100000	0.182035	0.352860	93.670000	88.790000	
0.100000	0.182072	0.351666	93.696000	88.320000	
0.100000	0.178852	0.462875	93.952000	85.460000	
0.100000	0.175635	0.519910	93.960000	84.600000	
0.100000	0.174754	0.487132	94.038000	85.060000	
0.100000	0.172107	0.386112	94.026000	87.170000	
0.100000	0.171892	0.456744	94.136000	85.950000	
0.100000	0.180718	0.371878	93.822000	87.990000	
0.100000	0.167105	0.498438	94.262000	85.340000	
0.100000	0.182505	0.347755	93.712000	89.000000	
0.100000	0.167378	0.590986	94.346000	83.050000	
0.100000	0.176816	0.332054	93.934000	89.510000	
0.100000	0.170486	0.415075	94.196000	87.010000	
0.100000	0.174038	0.386691	94.118000	87.960000	
0.100000	0.166420	0.467096	94.412000	85.660000	
0.100000	0.167401	0.433177	94.284000	86.470000	
0.100000	0.170631	0.449994	94.286000	85.570000	
0.100000	0.170737	0.468908	94.182000	85.340000	
0.100000	0.167908	0.697118	94.220000	81.370000	
0.100000	0.166919	0.445691	94.334000	86.880000	
0.100000	0.174624	0.419031	93.922000	86.810000	
0.100000	0.164834	0.478471	94.384000	85.790000	
0.100000	0.173005	0.325546	94.060000	89.400000	
0.100000	0.161344	0.414853	94.464000	86.790000	
0.100000	0.170991	0.502768	94.154000	84.960000	
0.100000	0.162408	0.494517	94.492000	84.890000	
0.100000	0.168237	0.476753	94.178000	84.920000	
0.100000	0.166890	0.365972	94.170000	87.860000	
0.100000	0.161202	0.425811	94.438000	87.120000	
0.100000	0.164645	0.437110	94.392000	86.370000	
0.100000	0.161365	0.430952	94.476000	86.900000	
0.100000	0.162980	0.571645	94.456000	82.620000	
0.100000	0.164646	0.389436	94.282000	87.590000	
0.100000	0.158381	0.419209	94.576000	86.770000	
0.100000	0.168413	0.507428	94.276000	84.990000	
0.100000	0.163386	0.490159	94.418000	85.190000	
0.100000	0.162280	0.525262	94.456000	84.260000	
0.100000	0.161374	0.374309	94.468000	88.190000	
0.100000	0.164586	0.431017	94.414000	86.230000	
0.100000	0.161327	0.434127	94.562000	86.670000	
0.100000	0.158941	0.411976	94.514000	87.350000	
0.100000	0.162140	0.357122	94.522000	89.020000	
0.100000	0.154259	0.478739	94.822000	85.010000	
0.100000	0.160458	0.415545	94.532000	87.250000	
0.100000	0.155709	0.495879	94.662000	84.180000	
0.100000	0.162172	0.373645	94.540000	88.460000	
0.100000	0.161900	0.342943	94.458000	89.110000	
0.100000	0.150387	0.683896	95.026000	81.250000	
0.100000	0.168357	0.392077	94.262000	87.210000	
0.100000	0.159119	0.540436	94.526000	84.870000	
0.100000	0.158720	0.379024	94.656000	87.800000	
0.100000	0.154516	0.434385	94.706000	86.290000	
0.100000	0.161919	0.485987	94.356000	85.580000	
0.100000	0.156867	0.380387	94.672000	87.610000	
0.100000	0.153883	0.514086	94.720000	84.870000	
0.100000	0.151514	0.497127	94.804000	85.380000	
0.100000	0.153561	0.423614	94.694000	86.960000	
0.100000	0.156236	0.527902	94.724000	84.630000	
0.100000	0.162200	0.473019	94.488000	85.880000	
0.100000	0.158040	0.459499	94.680000	85.750000	
0.100000	0.155870	0.395414	94.738000	87.260000	
0.100000	0.158311	0.389822	94.674000	87.900000	
0.100000	0.156647	0.481570	94.678000	84.790000	
0.100000	0.155924	0.481969	94.682000	85.050000	
0.100000	0.157053	0.640644	94.630000	82.400000	
0.100000	0.148839	0.540196	94.960000	84.440000	
0.100000	0.162298	0.559963	94.510000	84.790000	
0.100000	0.156193	0.384370	94.716000	87.930000	
0.100000	0.154111	0.513764	94.730000	85.320000	
0.100000	0.155818	0.357891	94.608000	88.590000	
0.100000	0.150839	0.382542	94.716000	88.160000	
0.100000	0.151555	0.529531	94.862000	85.310000	
0.100000	0.159018	0.352661	94.470000	88.780000	
0.100000	0.152730	0.481468	94.878000	85.100000	
0.100000	0.159671	0.586476	94.526000	83.090000	
0.100000	0.162828	0.521159	94.472000	83.800000	
0.100000	0.152630	0.327661	94.778000	89.800000	
0.100000	0.157208	0.384258	94.624000	87.760000	
0.100000	0.144353	0.515115	95.042000	84.930000	
