Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.099975	5.576003	4.425434	6.515154	18.004000	
0.099901	3.617477	2.897829	26.428873	36.368000	
0.099778	2.965998	2.516934	36.781310	43.252000	
0.099606	2.678074	2.454310	41.790258	45.656000	
0.099384	2.515264	2.149424	44.706038	50.272000	
0.099114	2.411637	2.102324	46.601497	51.426000	
0.098796	2.336144	2.005417	48.012944	52.988000	
0.098429	2.283293	1.903136	49.011331	54.968000	
0.098015	2.241440	1.941230	49.796006	54.570000	
0.097553	2.210581	1.932616	50.406231	54.608000	
0.097044	2.179186	1.815333	50.959789	56.920000	
0.096489	2.155373	1.911260	51.425692	55.332000	
0.095888	2.134311	1.838905	51.842032	57.240000	
0.095241	2.118891	1.800383	52.095863	56.976000	
0.094550	2.103982	1.811703	52.422674	57.062000	
0.093815	2.087836	1.780656	52.702185	57.532000	
0.093037	2.074886	1.808125	52.945088	56.888000	
0.092217	2.060247	1.744552	53.268856	58.074000	
0.091354	2.052388	1.793319	53.414426	57.324000	
0.090451	2.041314	1.767091	53.610341	58.240000	
0.089508	2.027721	1.680507	53.880564	59.518000	
0.088526	2.018678	1.759247	54.082333	58.338000	
0.087506	2.007570	1.726674	54.260842	58.566000	
0.086449	1.997700	1.697743	54.454650	59.664000	
0.085356	1.986441	1.651937	54.697163	60.184000	
0.084228	1.976502	1.687262	54.913918	59.722000	
0.083066	1.967827	1.685308	55.093754	59.744000	
0.081871	1.957877	1.616438	55.275464	60.930000	
0.080646	1.947196	1.655311	55.470130	60.630000	
0.079390	1.938663	1.732485	55.624911	58.832000	
0.078104	1.928955	1.656011	55.774618	60.242000	
0.076792	1.917378	1.570304	56.087067	62.100000	
0.075452	1.906301	1.619459	56.285871	60.908000	
0.074088	1.896849	1.567250	56.458760	62.104000	
0.072700	1.885339	1.568407	56.721567	62.030000	
0.071289	1.877582	1.557873	56.868777	62.394000	
0.069858	1.867832	1.630645	57.050330	60.944000	
0.068407	1.856246	1.553098	57.296043	62.126000	
0.066937	1.844941	1.637516	57.497813	60.692000	
0.065451	1.836615	1.492220	57.686859	63.618000	
0.063950	1.822753	1.596948	57.887223	61.446000	
0.062435	1.810760	1.547774	58.211147	62.324000	
0.060907	1.799479	1.553674	58.456314	62.388000	
0.059369	1.788076	1.482249	58.619758	64.078000	
0.057822	1.773130	1.472169	58.957732	64.088000	
0.056267	1.765684	1.470238	59.103692	64.438000	
0.054706	1.752849	1.440712	59.348001	64.636000	
0.053140	1.738115	1.443633	59.697370	64.984000	
0.051571	1.726209	1.429731	59.883918	64.978000	
0.050000	1.712710	1.416605	60.141808	65.448000	
0.048430	1.698111	1.442222	60.458082	65.032000	
0.046861	1.688206	1.369394	60.668594	66.198000	
0.045295	1.675284	1.408494	60.961139	65.518000	
0.043734	1.659607	1.370302	61.274916	66.394000	
0.042179	1.646122	1.350023	61.536708	66.678000	
0.040631	1.630434	1.336036	61.847285	67.194000	
0.039093	1.615130	1.346108	62.179950	67.098000	
0.037566	1.601718	1.335639	62.496849	67.546000	
0.036051	1.586563	1.322039	62.778155	67.598000	
0.034549	1.567736	1.314202	63.167019	67.574000	
0.033063	1.553165	1.254173	63.436929	68.760000	
0.031594	1.538893	1.229867	63.787235	69.466000	
0.030143	1.520002	1.242328	64.146594	69.114000	
0.028711	1.501309	1.237140	64.545059	69.418000	
0.027301	1.485333	1.215456	64.864924	69.892000	
0.025913	1.470136	1.181606	65.204926	70.668000	
0.024548	1.452246	1.190875	65.587702	70.254000	
0.023209	1.431022	1.226875	66.050718	69.918000	
0.021896	1.414670	1.164079	66.368397	70.898000	
0.020611	1.392372	1.148859	66.867629	71.376000	
0.019355	1.373277	1.142684	67.290291	71.540000	
0.018129	1.351864	1.108690	67.768527	72.212000	
0.016935	1.330664	1.114659	68.167616	72.198000	
0.015773	1.309401	1.105147	68.637968	72.282000	
0.014645	1.289184	1.060031	69.107462	73.216000	
0.013552	1.264006	1.062120	69.657508	73.340000	
0.012495	1.244714	1.044773	70.089926	73.494000	
0.011475	1.220797	1.034124	70.553878	73.830000	
0.010492	1.196263	1.029242	71.129447	74.174000	
0.009549	1.173105	1.012390	71.610024	74.896000	
0.008646	1.147353	0.986467	72.185359	75.352000	
0.007784	1.119997	0.991880	72.837811	75.280000	
0.006963	1.094012	0.961064	73.394881	75.812000	
0.006185	1.066488	0.958694	74.079023	75.948000	
0.005450	1.041776	0.927572	74.574353	76.466000	
0.004759	1.013888	0.933768	75.200891	76.526000	
0.004112	0.986733	0.912194	75.821731	76.896000	
0.003511	0.959100	0.904381	76.464505	77.370000	
0.002956	0.933269	0.894209	77.078242	77.434000	
0.002447	0.905868	0.878681	77.731396	77.770000	
0.001985	0.881232	0.877598	78.301268	78.068000	
0.001571	0.859046	0.866445	78.807681	78.184000	
0.001204	0.834030	0.856525	79.414393	78.474000	
0.000886	0.814945	0.854137	79.869915	78.648000	
0.000616	0.797901	0.848119	80.321535	78.766000	
0.000394	0.785154	0.843969	80.603543	78.844000	
0.000222	0.771623	0.840613	80.937848	78.824000	
0.000099	0.766809	0.844276	81.055787	78.808000	
0.000025	0.759766	0.838455	81.239848	78.866000	
0.000000	0.759627	0.844682	81.240131	78.974000	
