Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.099975	4.780688	3.652705	13.642796	25.360000	
0.099901	3.542845	2.992266	28.574807	36.190000	
0.099778	3.099291	2.681275	35.535102	41.000000	
0.099606	2.867240	2.488760	39.376522	44.722000	
0.099384	2.724001	2.305359	41.830768	47.758000	
0.099114	2.624324	2.279432	43.576755	48.344000	
0.098796	2.551344	2.253497	44.831470	48.966000	
0.098429	2.497945	2.200216	45.789581	49.852000	
0.098015	2.454392	2.162551	46.538429	50.858000	
0.097553	2.415707	2.089665	47.318109	52.056000	
0.097044	2.387018	2.072192	47.801184	52.192000	
0.096489	2.361631	2.068673	48.229700	52.568000	
0.095888	2.340403	2.007879	48.669846	53.706000	
0.095241	2.316601	2.121881	49.042318	51.382000	
0.094550	2.304066	2.030997	49.279914	53.416000	
0.093815	2.284838	1.995069	49.669403	53.436000	
0.093037	2.269871	1.945323	49.939703	54.714000	
0.092217	2.255662	2.039012	50.167465	53.030000	
0.091354	2.243039	1.925773	50.371185	55.364000	
0.090451	2.232396	1.995032	50.644295	53.832000	
0.089508	2.223315	1.910056	50.784168	55.306000	
0.088526	2.208019	1.958539	51.072265	54.458000	
0.087506	2.197804	1.923166	51.226889	55.324000	
0.086449	2.188009	1.919571	51.444816	55.432000	
0.085356	2.176114	1.858874	51.716521	56.276000	
0.084228	2.164868	1.879834	51.923442	56.142000	
0.083066	2.153155	1.889681	52.121230	55.828000	
0.081871	2.143561	1.888335	52.286236	55.842000	
0.080646	2.131875	1.901188	52.481058	55.584000	
0.079390	2.118467	1.846864	52.735280	56.798000	
0.078104	2.111716	1.855479	52.909808	56.656000	
0.076792	2.099209	1.750782	53.140613	58.352000	
0.075452	2.088377	1.787722	53.296799	57.768000	
0.074088	2.076560	1.864907	53.539937	56.362000	
0.072700	2.065716	1.757818	53.740145	58.736000	
0.071289	2.053555	1.774794	53.993195	58.450000	
0.069858	2.043358	1.722737	54.214088	59.358000	
0.068407	2.030322	1.742189	54.433731	58.916000	
0.066937	2.017757	1.730327	54.690294	58.994000	
0.065451	2.008456	1.726994	54.857876	59.036000	
0.063950	1.995155	1.682870	55.091022	60.228000	
0.062435	1.982287	1.719982	55.349927	59.252000	
0.060907	1.968622	1.770650	55.603758	58.330000	
0.059369	1.956273	1.657182	55.854311	60.680000	
0.057822	1.943859	1.687448	56.149979	59.944000	
0.056267	1.931033	1.685910	56.410679	60.312000	
0.054706	1.917550	1.673618	56.574904	60.092000	
0.053140	1.904420	1.634422	56.832482	61.120000	
0.051571	1.888478	1.635412	57.138765	61.200000	
0.050000	1.876847	1.594095	57.403133	61.840000	
0.048430	1.861836	1.601291	57.727447	61.670000	
0.046861	1.848043	1.604320	58.041223	61.704000	
0.045295	1.833610	1.545269	58.234250	62.830000	
0.043734	1.818100	1.527794	58.569882	63.282000	
0.042179	1.803904	1.514599	58.869687	63.436000	
0.040631	1.786429	1.507777	59.190410	63.974000	
0.039093	1.773259	1.508377	59.461257	63.786000	
0.037566	1.756681	1.469881	59.759188	64.264000	
0.036051	1.740806	1.509656	60.074682	63.804000	
0.034549	1.724442	1.449533	60.446608	64.916000	
0.033063	1.708197	1.448704	60.728539	65.002000	
0.031594	1.686076	1.408640	61.178441	65.730000	
0.030143	1.671792	1.449698	61.475904	64.842000	
0.028711	1.653850	1.437538	61.849470	65.268000	
0.027301	1.637201	1.347954	62.193922	67.090000	
0.025913	1.618003	1.385978	62.568970	65.974000	
0.024548	1.599948	1.402090	62.961347	66.098000	
0.023209	1.580866	1.335138	63.387053	67.420000	
0.021896	1.563541	1.321409	63.703639	67.786000	
0.020611	1.542325	1.312361	64.123022	67.764000	
0.019355	1.521342	1.297065	64.558328	68.312000	
0.018129	1.500958	1.337938	65.024232	67.392000	
0.016935	1.476989	1.275362	65.501141	68.734000	
0.015773	1.457867	1.247772	65.892190	69.164000	
0.014645	1.437180	1.237578	66.354113	69.562000	
0.013552	1.412802	1.235568	66.838281	69.568000	
0.012495	1.393183	1.210139	67.216374	70.130000	
0.011475	1.370368	1.207847	67.752916	70.274000	
0.010492	1.348754	1.179750	68.182602	70.968000	
0.009549	1.323431	1.176503	68.768006	70.890000	
0.008646	1.298972	1.174707	69.226182	71.006000	
0.007784	1.273934	1.137545	69.768422	71.582000	
0.006963	1.250230	1.143813	70.314721	71.484000	
0.006185	1.222373	1.110553	70.895363	72.420000	
0.005450	1.199801	1.100531	71.430188	72.484000	
0.004759	1.174819	1.089030	71.980702	72.950000	
0.004112	1.148903	1.075922	72.549168	73.202000	
0.003511	1.121360	1.064862	73.170164	73.402000	
0.002956	1.099249	1.055734	73.678685	73.598000	
0.002447	1.075692	1.042094	74.202270	73.884000	
0.001985	1.050282	1.046783	74.778386	74.016000	
0.001571	1.028777	1.028324	75.336471	74.298000	
0.001204	1.008123	1.018194	75.763113	74.490000	
0.000886	0.988900	1.007870	76.149245	74.692000	
0.000616	0.974718	1.005267	76.560355	74.792000	
0.000394	0.960199	1.001780	76.870697	74.914000	
0.000222	0.950579	0.993973	77.136236	75.006000	
0.000099	0.943860	0.995577	77.275172	75.054000	
0.000025	0.938623	0.997126	77.360329	74.964000	
0.000000	0.937013	0.997809	77.425894	74.950000	
0.002447	1.188330	1.198227	71.249103	71.098000	
0.002025	1.102821	1.164988	73.176175	72.016000	
0.001643	1.048252	1.149628	74.375003	72.534000	
0.001299	0.997855	1.139066	75.496559	72.834000	
0.000996	0.956037	1.128273	76.488389	73.152000	
