Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.099975	5.230309	4.245789	8.807439	17.838000	
0.099901	4.111570	3.475109	20.552668	28.392000	
0.099778	3.701437	3.197243	26.336457	32.718000	
0.099606	3.493423	3.036257	29.531825	36.032000	
0.099384	3.368606	2.858872	31.499406	37.836000	
0.099114	3.282580	2.801798	32.860899	38.924000	
0.098796	3.219874	2.756648	33.792082	39.720000	
0.098429	3.173337	2.765202	34.627804	40.100000	
0.098015	3.136647	2.895225	35.180425	38.148000	
0.097553	3.106551	2.625702	35.651558	42.404000	
0.097044	3.081839	2.669542	36.030588	41.592000	
0.096489	3.060491	2.627022	36.399626	42.092000	
0.095888	3.041243	2.570608	36.757815	43.264000	
0.095241	3.025006	2.572510	37.077056	42.860000	
0.094550	3.007210	2.643735	37.248696	42.148000	
0.093815	2.993891	2.536225	37.479189	43.890000	
0.093037	2.979886	2.485672	37.730288	44.684000	
0.092217	2.966771	2.505150	37.954771	44.206000	
0.091354	2.959191	2.472748	38.046094	44.766000	
0.090451	2.943538	2.519625	38.311633	44.146000	
0.089508	2.928501	2.511750	38.516290	44.310000	
0.088526	2.924749	2.645578	38.631810	41.974000	
0.087506	2.913254	2.452521	38.848722	45.100000	
0.086449	2.900884	2.442158	39.044324	45.476000	
0.085356	2.890505	2.412985	39.182558	46.120000	
0.084228	2.881170	2.453273	39.364501	45.262000	
0.083066	2.871416	2.363383	39.585394	47.186000	
0.081871	2.861900	2.394061	39.661106	46.172000	
0.080646	2.849698	2.399684	39.903931	46.164000	
0.079390	2.839113	2.412162	40.039433	46.014000	
0.078104	2.828045	2.466367	40.251973	45.102000	
0.076792	2.820247	2.428355	40.389660	45.798000	
0.075452	2.811758	2.393493	40.511502	46.486000	
0.074088	2.803889	2.346405	40.683455	47.130000	
0.072700	2.791429	2.328115	40.906455	47.452000	
0.071289	2.781972	2.428317	41.068417	45.658000	
0.069858	2.772725	2.375375	41.206962	46.692000	
0.068407	2.759692	2.288230	41.441826	48.132000	
0.066937	2.749761	2.291598	41.589816	48.824000	
0.065451	2.735330	2.298321	41.848565	48.266000	
0.063950	2.725453	2.219362	42.047056	49.538000	
0.062435	2.713364	2.225970	42.213544	49.368000	
0.060907	2.704266	2.203710	42.387917	49.768000	
0.059369	2.691315	2.220457	42.642762	49.768000	
0.057822	2.681908	2.178509	42.809876	50.568000	
0.056267	2.663206	2.225451	43.123340	50.240000	
0.054706	2.656555	2.198044	43.275233	49.962000	
0.053140	2.640951	2.202312	43.496906	49.982000	
0.051571	2.628807	2.147085	43.671980	50.940000	
0.050000	2.616877	2.213692	43.939159	49.658000	
0.048430	2.605001	2.178515	44.158568	50.516000	
0.046861	2.590213	2.146706	44.457202	51.198000	
0.045295	2.577754	2.093063	44.672943	52.078000	
0.043734	2.564347	2.087374	44.905387	52.184000	
0.042179	2.548798	2.082320	45.194811	52.274000	
0.040631	2.533156	2.076693	45.477288	52.410000	
0.039093	2.522032	2.075493	45.679291	52.624000	
0.037566	2.506171	2.014048	45.948967	53.968000	
0.036051	2.490704	2.008423	46.262119	53.448000	
0.034549	2.476449	1.975931	46.463342	53.960000	
0.033063	2.458297	1.957913	46.828321	54.676000	
0.031594	2.446545	1.967919	47.045233	54.514000	
0.030143	2.429849	1.946271	47.344257	54.912000	
0.028711	2.412040	1.950570	47.686914	54.760000	
0.027301	2.397348	1.943359	47.924822	54.568000	
0.025913	2.376774	1.926710	48.341239	55.410000	
0.024548	2.361557	1.900757	48.614740	55.924000	
0.023209	2.343960	1.827324	48.920242	57.226000	
0.021896	2.329353	1.886985	49.241044	56.166000	
0.020611	2.308855	1.842224	49.541473	57.076000	
0.019355	2.292260	1.828547	49.833628	57.164000	
0.018129	2.272299	1.801461	50.216482	57.918000	
0.016935	2.255028	1.810734	50.573188	57.702000	
0.015773	2.235782	1.768846	50.938090	58.234000	
0.014645	2.219346	1.775006	51.297138	58.526000	
0.013552	2.197490	1.741559	51.646507	58.982000	
0.012495	2.177995	1.716648	52.017497	59.564000	
0.011475	2.158429	1.686042	52.433914	60.162000	
0.010492	2.136867	1.674034	52.814895	60.344000	
0.009549	2.115772	1.661326	53.182528	60.696000	
0.008646	2.097315	1.670429	53.566553	60.504000	
0.007784	2.074446	1.650320	53.998035	60.888000	
0.006963	2.053467	1.599258	54.412422	61.900000	
0.006185	2.031837	1.594038	54.853349	62.000000	
0.005450	2.008810	1.562787	55.247989	62.562000	
0.004759	1.989352	1.563964	55.689305	62.650000	
0.004112	1.968228	1.534543	56.071066	63.272000	
0.003511	1.945742	1.509081	56.497631	63.788000	
0.002956	1.922807	1.498873	56.972354	64.050000	
0.002447	1.901594	1.494764	57.385883	64.038000	
0.001985	1.883681	1.468005	57.747975	64.688000	
0.001571	1.864371	1.459165	58.111160	64.780000	
0.001204	1.847224	1.448940	58.466851	65.086000	
0.000886	1.830416	1.439504	58.767748	65.294000	
0.000616	1.816148	1.429384	59.045074	65.462000	
0.000394	1.804275	1.427647	59.356899	65.516000	
0.000222	1.796422	1.426919	59.441509	65.628000	
0.000099	1.789870	1.420590	59.603549	65.646000	
0.000025	1.780753	1.421168	59.758017	65.670000	
0.000000	1.783430	1.422833	59.742407	65.652000	
